,CP,Năm,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán đầu tư,Chứng khoán đầu tư,Cổ đông thiểu số,Cổ đông thiểu số,Lãi/Lỗ ròng trước thuế,Cố tức đã nhận,Cố tức đã nhận,Tăng trưởng doanh thu (%),Doanh thu (Tỷ đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Thu nhập tài chính,Chi phí tiền lãi vay,Chi phí tiền lãi vay,Doanh thu thuần,Doanh thu thuần,Lãi gộp,Lãi gộp,Chi phí tài chính,Chi phí tài chính,Chi phí quản lý DN,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Lãi/Lỗ từ hoạt động kinh doanh,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Giá vốn hàng bán,Chi phí bán hàng,Chi phí bán hàng,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Lãi/lỗ từ công ty liên doanh,Thu nhập khác,Lợi nhuận khác,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu
0,VHM,2023,0.0,0.0,0.0,0.0,0.0,0,161470000000,43310285000000,0,0.0,0.659759603233736,103556722000000,33371406000000,0.15748873195601562,0.0,19954131000000,0.0,-3052805000000,0.0,103556722000000,0.0,35706599000000,-3870289000000,0.0,-4092923000000,0.0,44045413000000,0.0,0,-1519844000000,-67850123000000,0.0,-3662804000000,103556722000000,0,10699000000,784716000000,-735128000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43310285000000,-9777409000000,-9232770000000,-544639000000,33532876000000,33371406000000,7664
1,VHM,2022,0.0,0.0,0.0,0.0,0.0,0,330721000000,38642699000000,0,0.0,-0.26584505380828843,62392603000000,28830869000000,-0.257406458313683,0.0,16690167000000,0.0,-2075514000000,0.0,62392603000000,0.0,30696327000000,-4394119000000,0.0,-2643927000000,0.0,37973052000000,0.0,0,-464097000000,-31696276000000,0.0,-2431780000000,62392603000000,0,56384000000,1133744000000,669647000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38642699000000,-9481109000000,-9820841000000,339732000000,29161590000000,28830869000000,6621
2,VHM,2021,0.0,0.0,0.0,0.0,0.0,0,123916000000,48182977000000,0,0.0,0.18783342977611964,84985606000000,38824562000000,0.41947879587353865,0.0,7994896000000,0.0,-2348161000000,0.0,84985606000000,0.0,48459564000000,-2785675000000,0.0,-3768594000000,0.0,47664942000000,0.0,0,-98687000000,-36526042000000,0.0,-2289008000000,84985606000000,0,53759000000,616722000000,518035000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48182977000000,-9234499000000,-8978371000000,-256128000000,38948478000000,38824562000000,9015
3,VHM,2020,0.0,0.0,0.0,0.0,0.0,0,855260000000,36516837000000,0,0.0,0.3858413741463733,71546737000000,27351280000000,0.2576818463064234,0.0,20244792000000,0.0,-3001572000000,0.0,71546737000000,0.0,25936077000000,-4019261000000,0.0,-2193460000000,0.0,37305841000000,0.0,0,-1010436000000,-45610660000000,0.0,-2680833000000,71546737000000,0,18526000000,221432000000,-789004000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36516837000000,-8310297000000,-8778070000000,467773000000,28206540000000,27351280000000,8315
4,VHM,2019,0.0,0.0,0.0,0.0,0.0,0,2571724000000,29745694000000,0,0.0,0.33526000351942314,51626931000000,21747376000000,0.5224507194136551,0.0,9045787000000,0.0,-2377698000000,0.0,51626931000000,0.0,27455608000000,-2548827000000,0.0,-2156421000000,0.0,29715474000000,0.0,0,-155508000000,-24171323000000,0.0,-2080673000000,51626931000000,0,0,185728000000,30220000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29745694000000,-5426594000000,-5766161000000,339567000000,24319100000000,21747376000000,6502
5,VHM,2018,0.0,0.0,0.0,0.0,0.0,0,491866078784,19718734148309,0,0.0,1.5275242598124095,38664328193703,14284453166652,9.13339041097502,0.0,14565046792984,0.0,-2382621895215,0.0,38664328193703,0.0,10061070331503,-2456954093023,0.0,-1062825660762,0.0,19725424089502,0.0,0,-107622081650,-28603257862200,0.0,-1381104519276,38664328193703,0,191238076,100932140457,-6689941193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19718734148309,-4942414902873,-4630060569450,-312354333423,14776319245436,14284453166652,4503
6,VHM,2017,0.0,0.0,0.0,0.0,0.0,0,155847016240,2108782048600,0,0.0,0.3637157448298198,15297312397141,1409642043514,-0.14491968683361778,0.0,964268046313,0.0,-901949220589,0.0,15297312397141,0.0,5166689865934,-1652417155368,0.0,-452513058995,0.0,2352065203031,0.0,0,-335089997551,-10130622531207,0.0,-1585809553121,15297312397141,0,-88152941732,91806843120,-243283154431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108782048600,-543292988846,-574855234140,31562245294,1565489059754,1409642043514,2349
7,VHM,2016,0.0,0.0,0.0,0.0,0.0,0,558749834712,2794905785692,0,0.0,1.2797863021070461,11217376095522,1648549290410,1.0734500334125252,0.0,822034511730,0.0,-384720077362,0.0,11217376095522,0.0,4453816909570,-946663181685,0.0,-883874735719,0.0,2651810860640,0.0,0,-38454358354,-6763559185952,0.0,-1298335291291,11217376095522,0,504832648035,181549283406,143094925052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794905785692,-587606660570,-585985392868,-1621267702,2207299125122,1648549290410,2748
8,VHM,2015,0.0,0.0,0.0,0.0,0.0,0,-3187123950,978470962016,0,0.0,-0.2445096995511027,4920362967860,795075484745,0.594115414572044,,89464728244,,-265013754574,0.0,4920362967860,0.0,1634348386834,-264363634014,,-499525076277,0.0,704378978289,0.0,0,-489295974,-3286014581026,,-416891013798,4920362967860,0,161345587300,274581279701,274091983727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978470962016,-186582601221,-192111071670,5528470449,791888360795,795075484745,3975
9,VHM,2014,0.0,0.0,,0.0,,0,-361674355,627342448452,0,,-0.07248072965441839,6512807596519,498756537624,-0.5509744243201001,,95390646088,,-404481592643,,6512807596519,,1670825346219,-481698379703,,-301639697766,,702335587870,,29721352435,-128609419277,-4841982250300,,-280542326968,6512807596519,0,0,23894927424,-104714491853,,,,,,,,,,,,,,627342448452,-128947585183,-127139954737,-1807630446,498394863269,498756537624,2494
10,VHM,2013,,,,,,0,0,1526917028839,0,,,7021749094326,1110753072069,,,100714215521,,-1494962586,,7021749094326,,1823737177977,-6821387006,,-210827391282,,1504492522241,,0,-471768204,-5198011916349,,-202310092969,7021749094326,0,0,22896274802,22424506598,,,,,,,,,,,,,,1526917028839,-416163956770,-414174613577,-1989343193,1110753072069,1110753072069,5554
